[更新情報 2023/2/15]
[build]ステータス画像追加

アリア: 1枚
アレンシア: 1枚
エドワード・エルリック: 1枚
カーウェリック: 1枚
キセ: 1枚
シュー: 1枚
ジオ: 1枚
セリン: 1枚
チェルミア: 1枚
チャールズ: 1枚
ディズィー: 1枚
ディンゴ: 1枚
デザイナーリリベット: 1枚
デスティーナ: 3枚
モルト: 1枚
ユルハ: 1枚
ランディ: 1枚
リディカ: 1枚
リフ: 3枚
レム: 1枚
ヴィルドレッド: 1枚
ヴィヴィアン: 1枚
三日月の舞姫リン: 1枚
執行人ヴィルドレッド: 3枚
幻影のテネブレア: 1枚
救済者アーディン: 1枚
海賊船長プラン: 1枚
海辺のヴェローナ(SSB): 1枚
生徒会広報ヘイゼル: 1枚
破壊者コルヴス: 2枚
自由騎士アロウェル: 1枚
剣のカリン: 1枚
覇者ケン: 1枚
調整者カーウェリック
野心家タイウィン: 2枚
雪国のソリタリア: 1枚
霊眼のセリン: 2枚
黒騎士ピィリス: 2枚
黙示録のラヴィ: 3枚

